Ensembl Gene ID	Ensembl Protein ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
YHR055C	YHR055C	VIII	214533	214718	CUP1-2
YPR161C	YPR161C	XVI	864449	866422	SGV1
YOL138C	YOL138C	XV	61325	65350	RTC1
YDR395W	YDR395W	IV	1263324	1266158	SXM1
YGR129W	YGR129W	VII	750400	751047	SYF2
YPR165W	YPR165W	XVI	875368	875997	RHO1
YPR098C	YPR098C	XVI	728947	729528	
YPL015C	YPL015C	XVI	525810	526883	HST2
YCL050C	YCL050C	III	37836	38801	APA1
YAL069W	YAL069W	I	335	649	
YMR193W	YMR193W	XIII	650036	650812	MRPL24
YLR031W	YLR031W	XII	204225	204785	
YIL014C-A	YIL014C-A	IX	325212	325526	
YGR053C	YGR053C	VII	594986	595837	
YCR101C	YCR101C	III	302482	303030	
YER087C-B	YER087C-B	V	332582	332830	SBH1
YOR280C	YOR280C	XV	844992	845792	FSH3
YGR097W	YGR097W	VII	678695	682135	ASK10
YHR215W	YHR215W	VIII	552099	553502	PHO12
YKL025C	YKL025C	XI	390240	392279	PAN3
YKR011C	YKR011C	XI	461635	462696	
YEL004W	YEL004W	V	146951	147979	YEA4
YJL200C	YJL200C	X	56444	58813	ACO2
YLL027W	YLL027W	XII	87403	88155	ISA1
YOR024W	YOR024W	XV	377847	378170	
YLR045C	YLR045C	XII	235037	237703	STU2
YDR348C	YDR348C	IV	1170326	1171825	PAL1
YPL183C	YPL183C	XVI	199495	202536	RTT10
YGR003W	YGR003W	VII	500132	502366	CUL3
YEL008C-A	YEL008C-A	V	140726	140818	
YBL095W	YBL095W	II	43277	44089	
YGL060W	YGL060W	VII	390065	391990	YBP2
YLL007C	YLL007C	XII	134302	136299	
YEL009C	YEL009C	V	138918	139763	GCN4
YEL015W	YEL015W	V	126629	128284	EDC3
YOR083W	YOR083W	XV	479533	480420	WHI5
YBR252W	YBR252W	II	722611	723054	DUT1
YDR329C	YDR329C	IV	1126270	1127595	PEX3
YDL202W	YDL202W	IV	98475	99224	MRPL11
